time (seconds),temperature
2.912,21
3.525,21
4.126,21
4.727,21
5.327,21
5.928,21
6.544,21
7.146,21
7.762,21
8.364,21
8.965,21
9.581,21
10.183,21
10.783,21
11.4,21
12.001,21
12.602,21
13.218,21
13.82,21
14.436,21
15.038,21
15.639,21
16.242,21
16.856,21
17.458,21
18.074,21
18.676,21
19.282,21
19.892,21
20.494,21
21.11,21
21.712,21
22.313,21
22.93,21
23.531,21
24.131,21
24.732,21
25.346,21
25.949,21
26.554,21
27.167,21
27.769,21
28.369,21
28.97,21
29.586,21
30.187,21
30.789,21
31.389,21
32.005,21
32.606,21
33.207,21
33.809,21
34.425,21
35.027,21
35.627,21
36.244,21
36.845,21
37.462,21
38.064,21
38.68,21
39.281,21
39.881,21
40.483,21
41.084,21
41.7,21
42.302,21
42.917,21
43.519,21
44.129,21
44.738,21
45.353,21
45.954,21
46.556,21
47.157,21
47.773,21
48.375,21
